Period,Beta,SE,P_value,Significance,N
2022-2024 (includes pre-LLM),-0.06614339918039835,0.012608221050581797,1.553919958993022e-07,***,473
2023-2024 (post-LLM only),-0.05891768458393526,0.009113504859207961,1.0138148667044001e-10,***,473
