onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_share,emp_share
25-1067.00,92.17,45.88,245.85023362793396,97270.0,82540.0,12380.0,"Sociology Teachers, Postsecondary",5.0,0.49777584897472066,0.019858661843936507,1204202600.0,0.00010307258758179793,8.50771865867775e-05
25-1071.00,89.05,43.13,239.85023362793396,137900.0,105620.0,229720.0,"Health Specialties Teachers, Postsecondary",5.0,0.4843346434587311,0.0010440981787738725,31678388000.0,0.0027114817901739926,0.001578669733660301
25-1072.00,121.9,44.58,55.99309077079107,87090.0,79940.0,74250.0,"Nursing Instructors and Teachers, Postsecondary",5.0,0.3657095980311731,0.0007541157006167148,6466432500.0,0.0005534882005719258,0.0005102569550943642
25-1081.00,90.79,48.58,248.01690029460062,78500.0,72090.0,59090.0,"Education Teachers, Postsecondary",5.0,0.5350809560524287,0.0041972736553494774,4638565000.0,0.0003970336031630911,0.0004060751983370502
25-1082.00,103.01,56.65,308.55138305322134,84320.0,78630.0,4100.0,"Library Science Teachers, Postsecondary",5.0,0.5499466071255218,0.0752564348910296,345712000.0,2.959089309230733e-05,2.8175804927769607e-05
25-1111.00,91.36,50.580000000000005,248.01690029460065,84820.0,71470.0,13560.0,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5.0,0.5536339754816113,0.01829033188013279,1150159200.0,9.844679365001424e-05,9.318632068794045e-05
25-1112.00,90.58,50.59,199.15975743745776,139950.0,126650.0,22800.0,"Law Teachers, Postsecondary",5.0,0.5585118127621992,0.008735077080590252,3190860000.0,0.00027311865695295437,0.00015668496398857243
25-1113.00,98.08,48.81,366.63148362793396,81880.0,76210.0,13350.0,"Social Work Teachers, Postsecondary",5.0,0.49765497553017946,0.02746303248149318,1093098000.0,9.356269396901166e-05,9.174316970383518e-05
25-1121.00,112.41,46.22,98.99309077079107,102240.0,80190.0,97890.0,"Art, Drama, and Music Teachers, Postsecondary",5.0,0.41117338315096524,0.0010112686767881406,10008273600.0,0.0008566487542699178,0.0006727145230193578
25-1122.00,89.91,51.83,248.01690029460062,90340.0,77800.0,29260.0,"Communications Teachers, Postsecondary",5.0,0.576465354243132,0.008476312381907061,2643348400.0,0.0002262549171279031,0.00020107903711866798
25-1123.00,125.4,64.75,1696.0169002946006,90400.0,78270.0,59590.0,"English Language and Literature Teachers, Postsecondary",5.0,0.516347687400319,0.028461434809441192,5386936000.0,0.0004610897141872474,0.00040951127210872947
