onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
27-1011.00,66.07000000000001,16.34,974.0,128100.0,111040.0,50370.0,Art Directors,4.0,0.24731345542606323,0.019336906889021243,6452397000.0,1595764597.850764,12457.178749810804
27-1012.00,62.06,12.67,447.0,45340.0,38480.0,4370.0,Craft Artists,3.0,0.20415726716081212,0.1022883295194508,198135800.0,40450863.454721235,892.167257492749
27-1013.00,101.67,41.2,2452.0,76450.0,60560.0,10000.0,"Fine Artists, Including Painters, Sculptors, and Illustrators",3.0,0.4052326153240878,0.2452,764500000.0,309800334.4152651,4052.326153240878
27-1014.00,48.1,18.34,4585.0,110110.0,99800.0,21280.0,Special Effects Artists and Animators,4.0,0.38128898128898125,0.21546052631578946,2343140800.0,893413768.6486486,8113.829521829521
27-1021.00,59.99,1.91,19.0,88000.0,79450.0,30250.0,Commercial and Industrial Designers,4.0,0.03183863977329555,0.000628099173553719,2662000000.0,84754459.07651275,963.1188531421903
27-1022.00,76.65,6.98,212.0,122430.0,80690.0,20910.0,Fashion Designers,3.0,0.09106327462491846,0.01013868962219034,2560011300.0,233123012.05479452,1904.1330724070451
27-1024.00,77.1,17.63,2692.0,68610.0,61300.0,214260.0,Graphic Designers,4.0,0.22866407263294422,0.012564174367590778,14700378600.0,3361448439.9221787,48993.56420233463
27-1025.00,66.4,4.52,19.0,71430.0,63490.0,69580.0,Interior Designers,4.0,0.0680722891566265,0.0002730669732681805,4970099400.0,338326043.4939759,4736.469879518072
27-1027.00,105.64,12.37,107.0,78450.0,66280.0,10850.0,Set and Exhibit Designers,5.0,0.11709579704657326,0.009861751152073732,851182500.0,99669893.26959485,1270.4893979553199
27-2012.00,103.77,32.61,1531.0,114280.0,83480.0,145270.0,Producers and Directors,4.0,0.31425267418328995,0.01053899635162112,16601455600.0,5217051817.635155,45651.48597860653
27-2012.03,85.28,14.329999999999998,185.0,114280.0,83480.0,145270.0,Media Programming Directors,4.0,0.16803470919324576,0.0012734907413781236,16601455600.0,2789620763.930581,24410.40220450281
27-2012.04,57.81,7.68,98.0,114280.0,83480.0,145270.0,Talent Directors,4.0,0.13284898806434872,0.0006746059062435465,16601455600.0,2205486576.855215,19298.972496107937
27-2022.00,109.03,13.08,60.0,58910.0,45920.0,250940.0,Coaches and Scouts,4.0,0.11996698156470696,0.0002391009803140193,14782875400.0,1773456940.58516,30104.514353847564
27-2032.00,70.03,16.07,962.0,62020.0,55600.0,3430.0,Choreographers,3.0,0.2294730829644438,0.280466472303207,212728600.0,48815487.67670998,787.0926745680422
27-2041.00,109.98,3.86,61.0,84230.0,63670.0,12330.0,Music Directors and Composers,4.0,0.03509729041643935,0.004947283049472831,1038555900.0,36450498.03600655,432.7495908346972
27-3011.00,94.25,12.27,134.0,80110.0,45680.0,23880.0,Broadcast Announcers and Radio Disc Jockeys,4.0,0.13018567639257295,0.005611390284757119,1913026800.0,249048687.91511938,3108.833952254642
27-3023.00,122.64999999999999,42.17,666.0,106030.0,60280.0,41550.0,"News Analysts, Reporters, and Journalists",4.0,0.343823889115369,0.016028880866425992,4405546500.0,1514732131.3086019,14285.882592743581
